,platform,title,date,place,artist,url,imageUrl
0,Ticket Link,스카이 뮤직 페스티벌,2017.10.03 ~ 2017.10.03,잠실 종합운동장 보조경기장,Null,www.ticketlink.co.kr/product/20416,image.toast.com/aaaaab/ticketlink/TKL_4/ESKYpo-20170823.jpg
1,Ticket Link,2017 잔다리페스타,2017.09.29 ~ 2017.10.01,"무브홀, 상상마당, 롤링홀 외 홍대일원 공연장",Null,www.ticketlink.co.kr/bridge/280,image.toast.com/aaaaab/ticketlink/TKL_1/jan_main0727.jpg
2,Ticket Link,2017 THE CRY ground 일반티켓,2017.10.14 ~ 2017.10.15,한강 난지공원,Null,www.ticketlink.co.kr/product/20299,image.toast.com/aaaaab/ticketlink/TKL_6/thecry_0823.jpg
3,Ticket Link,2017 전유성의 철가방극장,2011.05.20 ~ 2017.10.31,경북 청도 풍각 성곡 철가방극장,Null,www.ticketlink.co.kr/product/15285,image.toast.com/aaaaab/ticketlink/TKL_1/201503140240a(1).jpg
4,Ticket Link,빅필드 뮤직페스티벌,2017.09.16 ~ 2017.09.17,서산 간월도 일원,Null,www.ticketlink.co.kr/product/16924,image.toast.com/aaaaab/ticketlink/TKL_2/bigpst_0824.jpg
5,Ticket Link,서 민 - 기생충과 인간,2017.09.16 ~ 2017.09.16,대구 수성아트피아 무학홀,Null,www.ticketlink.co.kr/bridge/289,image.toast.com/aaaaab/ticketlink/TKL_7/201707151147a.jpg
6,Ticket Link,Someday Festival 2017 4차티켓,2017.09.16 ~ 2017.09.17,난지 한강공원,Null,www.ticketlink.co.kr/product/19974,image.toast.com/aaaaab/ticketlink/TKL_1/someday_0717.jpg
7,Ticket Link,아이조아 콘서트,2017.09.16 ~ 2017.09.16,대구콘서트하우스 챔버홀,Null,www.ticketlink.co.kr/product/20145,image.toast.com/aaaaab/ticketlink/TKL_1/aejoapo20170801.jpg
8,Ticket Link,제11회 칠포재즈페스티벌,2017.09.22 ~ 2017.09.24,칠포해수욕장,Null,www.ticketlink.co.kr/product/17019,image.toast.com/aaaaab/ticketlink/TKL_7/7po-20170807.jpg
9,Ticket Link,마르코폴로의 음악여행,2017.09.22 ~ 2017.09.22,한국소리문화의전당 연지홀,Null,www.ticketlink.co.kr/bridge/210,image.toast.com/aaaaab/ticketlink/TKL_1/jjpst_0725.jpg
